wijk,part,order,long,lat
Haarlemmerbuurt,1,0,4.89507756612654,52.3886909274334
Haarlemmerbuurt,1,1,4.8962412141214,52.3856478277528
Haarlemmerbuurt,1,2,4.8987673695786,52.3829687895277
Haarlemmerbuurt,1,3,4.89399806920593,52.3787649461683
Haarlemmerbuurt,1,4,4.88984233169457,52.3797299471622
Haarlemmerbuurt,1,5,4.88166130544545,52.3841787816516
Haarlemmerbuurt,1,6,4.88447894406484,52.3883784549653
Haarlemmerbuurt,1,7,4.89507756612654,52.3886909274334
Jordaan,1,0,4.88312803595975,52.3746775545694
Jordaan,1,1,4.88279276205167,52.3661753264688
Jordaan,1,2,4.87921944796237,52.3649233548143
Jordaan,1,3,4.87443423991394,52.3721993944968
Jordaan,1,4,4.87985564509519,52.3812187357494
Jordaan,1,5,4.87959082362254,52.3818636907381
Jordaan,1,6,4.88166130544545,52.3841787816516
Jordaan,1,7,4.88843072429401,52.3805201672354
Jordaan,1,8,4.88312803595975,52.3746775545694
Grachtengordel-West,1,0,4.88279276205167,52.3661753264688
Grachtengordel-West,1,1,4.88312803595975,52.3746775545694
Grachtengordel-West,1,2,4.88843072429401,52.3805201672354
Grachtengordel-West,1,3,4.89399806920593,52.3787649461683
Grachtengordel-West,1,4,4.88929764204367,52.3744608642764
Grachtengordel-West,1,5,4.88805443524337,52.3684974318759
Grachtengordel-West,1,6,4.88279276205167,52.3661753264688
Burgwallen-Nieuwe Zijde,1,0,4.90640428433582,52.3800399198759
Burgwallen-Nieuwe Zijde,1,1,4.90324865633561,52.3765885003925
Burgwallen-Nieuwe Zijde,1,2,4.89968629870144,52.3773016124305
Burgwallen-Nieuwe Zijde,1,3,4.89355928055579,52.3734873006766
Burgwallen-Nieuwe Zijde,1,4,4.89200883476664,52.3690497229026
Burgwallen-Nieuwe Zijde,1,5,4.89414218065732,52.3672871113775
Burgwallen-Nieuwe Zijde,1,6,4.88963545226993,52.367283554361
Burgwallen-Nieuwe Zijde,1,7,4.88782242121111,52.3688019640603
Burgwallen-Nieuwe Zijde,1,8,4.88929764204367,52.3744608642764
Burgwallen-Nieuwe Zijde,1,9,4.8987673695786,52.3829687895277
Burgwallen-Nieuwe Zijde,1,10,4.90640428433582,52.3800399198759
Burgwallen-Oude Zijde,1,0,4.9022678795887,52.376140360906
Burgwallen-Oude Zijde,1,1,4.90070275247107,52.3730165569033
Burgwallen-Oude Zijde,1,2,4.89546899509384,52.3674962551853
Burgwallen-Oude Zijde,1,3,4.89414218065732,52.3672871113775
Burgwallen-Oude Zijde,1,4,4.89200883476664,52.3690497229026
Burgwallen-Oude Zijde,1,5,4.89329389263519,52.3731990187436
Burgwallen-Oude Zijde,1,6,4.89646790680855,52.3757625396668
Burgwallen-Oude Zijde,1,7,4.89968629870144,52.3773016124305
Burgwallen-Oude Zijde,1,8,4.90324865633561,52.3765885003925
Burgwallen-Oude Zijde,1,9,4.9022678795887,52.376140360906
Nieuwmarkt/Lastage,1,0,4.90640428433582,52.3800399198759
Nieuwmarkt/Lastage,1,1,4.91058837988342,52.3799129588023
Nieuwmarkt/Lastage,1,2,4.91137437441433,52.3749399415333
Nieuwmarkt/Lastage,1,3,4.91306219070253,52.3745218186415
Nieuwmarkt/Lastage,1,4,4.91340784900362,52.3714655249853
Nieuwmarkt/Lastage,1,5,4.9060301475033,52.366724129467
Nieuwmarkt/Lastage,1,6,4.90121198375022,52.3657776006996
Nieuwmarkt/Lastage,1,7,4.89927916132957,52.3671705123546
Nieuwmarkt/Lastage,1,8,4.89526302620854,52.3673664617706
Nieuwmarkt/Lastage,1,9,4.90070275247107,52.3730165569033
Nieuwmarkt/Lastage,1,10,4.9022678795887,52.376140360906
Nieuwmarkt/Lastage,1,11,4.90640428433582,52.3800399198759
Grachtengordel-Zuid,1,0,4.89173820116297,52.3669139986562
Grachtengordel-Zuid,1,1,4.89927916132957,52.3671705123546
Grachtengordel-Zuid,1,2,4.90074661099421,52.3666232041469
Grachtengordel-Zuid,1,3,4.90276456337712,52.3628031599185
Grachtengordel-Zuid,1,4,4.89590245459867,52.3616032236194
Grachtengordel-Zuid,1,5,4.88809338018046,52.3626710519251
Grachtengordel-Zuid,1,6,4.88279276205167,52.3661753264688
Grachtengordel-Zuid,1,7,4.88805443524337,52.3684974318759
Grachtengordel-Zuid,1,8,4.89173820116297,52.3669139986562
De Weteringschans,1,0,4.88809338018046,52.3626710519251
De Weteringschans,1,1,4.89590245459867,52.3616032236194
De Weteringschans,1,2,4.90276456337712,52.3628031599185
De Weteringschans,1,3,4.90462910579487,52.3592106704297
De Weteringschans,1,4,4.89803364697493,52.3579331915772
De Weteringschans,1,5,4.89021043887929,52.3584772497516
De Weteringschans,1,6,4.88439921398441,52.361724991836
De Weteringschans,1,7,4.88195778376279,52.3621177242649
De Weteringschans,1,8,4.87921944796237,52.3649233548143
De Weteringschans,1,9,4.88279276205167,52.3661753264688
De Weteringschans,1,10,4.88809338018046,52.3626710519251
Weesperbuurt/Plantage,1,0,4.92230789521437,52.363757323779
Weesperbuurt/Plantage,1,1,4.90462910579487,52.3592106704297
Weesperbuurt/Plantage,1,2,4.90121198375022,52.3657776006996
Weesperbuurt/Plantage,1,3,4.9060301475033,52.366724129467
Weesperbuurt/Plantage,1,4,4.91067993547269,52.369698479738
Weesperbuurt/Plantage,1,5,4.92123808430258,52.3661005093111
Weesperbuurt/Plantage,1,6,4.92161806228179,52.3655742910717
Weesperbuurt/Plantage,1,7,4.92054724195486,52.3648189995924
Weesperbuurt/Plantage,1,8,4.92230789521437,52.363757323779
Oostelijke Eilanden/Kadijken,1,0,4.91074745618524,52.3776816505902
Oostelijke Eilanden/Kadijken,1,1,4.92351118428015,52.3752093039851
Oostelijke Eilanden/Kadijken,1,2,4.92985050436848,52.373344369301
Oostelijke Eilanden/Kadijken,1,3,4.93225405743853,52.3719610403341
Oostelijke Eilanden/Kadijken,1,4,4.93282042504823,52.3690696462181
Oostelijke Eilanden/Kadijken,1,5,4.931581869816,52.3665674307213
Oostelijke Eilanden/Kadijken,1,6,4.92698390908349,52.3664240803056
Oostelijke Eilanden/Kadijken,1,7,4.92230789521437,52.363757323779
Oostelijke Eilanden/Kadijken,1,8,4.92054724195486,52.3648189995924
Oostelijke Eilanden/Kadijken,1,9,4.92161806228179,52.3655742910717
Oostelijke Eilanden/Kadijken,1,10,4.92123808430258,52.3661005093111
Oostelijke Eilanden/Kadijken,1,11,4.91067993547269,52.369698479738
Oostelijke Eilanden/Kadijken,1,12,4.91358143005182,52.3722355664176
Oostelijke Eilanden/Kadijken,1,13,4.91271782904878,52.3750624600863
Oostelijke Eilanden/Kadijken,1,14,4.91137437441433,52.3749399415333
Oostelijke Eilanden/Kadijken,1,15,4.91074745618524,52.3776816505902
Havens-West,1,0,4.76718363635674,52.4274681396432
Havens-West,1,1,4.76753787989297,52.4284981034233
Havens-West,1,2,4.84528518765436,52.4184683748587
Havens-West,1,3,4.85607801084278,52.4166621673058
Havens-West,1,4,4.86362558087544,52.4139036837023
Havens-West,1,5,4.85970498970719,52.4097493828553
Havens-West,1,6,4.84624678088843,52.3984755676441
Havens-West,1,7,4.84431243113299,52.3953024920857
Havens-West,1,8,4.84065913057758,52.3942090721483
Havens-West,1,9,4.84175851258939,52.395082432806
Havens-West,1,10,4.83884902939663,52.3961725175375
Havens-West,1,11,4.83579048272485,52.3954328219853
Havens-West,1,12,4.83556979855936,52.3922909776392
Havens-West,1,13,4.83429642968439,52.3919656617403
Havens-West,1,14,4.81512886641652,52.3920935166909
Havens-West,1,15,4.80897067659451,52.3953272426059
Havens-West,1,16,4.80540516812094,52.3945695352536
Havens-West,1,17,4.80207958576166,52.3992355498564
Havens-West,1,18,4.79976430803012,52.4002545950249
