breakdown,groep,year,n_totaal,variable,value,name,type
yearly_total,,2006,760590,heeft_do_acute_beroerte_n_totaal_gebruikers,380,heeft_do_acute_beroerte,n_totaal_gebruikers
yearly_total,,2007,760380,heeft_do_acute_beroerte_n_totaal_gebruikers,320,heeft_do_acute_beroerte,n_totaal_gebruikers
yearly_total,,2008,764520,heeft_do_acute_beroerte_n_totaal_gebruikers,300,heeft_do_acute_beroerte,n_totaal_gebruikers
yearly_total,,2009,773110,heeft_do_acute_beroerte_n_totaal_gebruikers,270,heeft_do_acute_beroerte,n_totaal_gebruikers
yearly_total,,2010,785260,heeft_do_acute_beroerte_n_totaal_gebruikers,260,heeft_do_acute_beroerte,n_totaal_gebruikers
yearly_total,,2011,798130,heeft_do_acute_beroerte_n_totaal_gebruikers,300,heeft_do_acute_beroerte,n_totaal_gebruikers
yearly_total,,2012,808380,heeft_do_acute_beroerte_n_totaal_gebruikers,270,heeft_do_acute_beroerte,n_totaal_gebruikers
yearly_total,,2013,817760,heeft_do_acute_beroerte_n_totaal_gebruikers,250,heeft_do_acute_beroerte,n_totaal_gebruikers
yearly_total,,2014,829140,heeft_do_acute_beroerte_n_totaal_gebruikers,230,heeft_do_acute_beroerte,n_totaal_gebruikers
yearly_total,,2015,840240,heeft_do_acute_beroerte_n_totaal_gebruikers,260,heeft_do_acute_beroerte,n_totaal_gebruikers
yearly_total,,2016,850470,heeft_do_acute_beroerte_n_totaal_gebruikers,240,heeft_do_acute_beroerte,n_totaal_gebruikers
yearly_total,,2017,861440,heeft_do_acute_beroerte_n_totaal_gebruikers,200,heeft_do_acute_beroerte,n_totaal_gebruikers
yearly_total,,2018,872640,heeft_do_acute_beroerte_n_totaal_gebruikers,230,heeft_do_acute_beroerte,n_totaal_gebruikers
yearly_total,,2019,881570,heeft_do_acute_beroerte_n_totaal_gebruikers,230,heeft_do_acute_beroerte,n_totaal_gebruikers
yearly_total,,2020,891300,heeft_do_acute_beroerte_n_totaal_gebruikers,190,heeft_do_acute_beroerte,n_totaal_gebruikers
yearly_total,,2021,891210,heeft_do_acute_beroerte_n_totaal_gebruikers,200,heeft_do_acute_beroerte,n_totaal_gebruikers
yearly_total,,2022,900380,heeft_do_acute_beroerte_n_totaal_gebruikers,190,heeft_do_acute_beroerte,n_totaal_gebruikers
yearly_total,,2023,915280,heeft_do_acute_beroerte_n_totaal_gebruikers,250,heeft_do_acute_beroerte,n_totaal_gebruikers
yearly_total,,2024,930390,heeft_do_acute_beroerte_n_totaal_gebruikers,200,heeft_do_acute_beroerte,n_totaal_gebruikers
yearly_total,,2006,760590,heeft_do_hartinfarct_n_totaal_gebruikers,360,heeft_do_hartinfarct,n_totaal_gebruikers
yearly_total,,2007,760380,heeft_do_hartinfarct_n_totaal_gebruikers,340,heeft_do_hartinfarct,n_totaal_gebruikers
yearly_total,,2008,764520,heeft_do_hartinfarct_n_totaal_gebruikers,330,heeft_do_hartinfarct,n_totaal_gebruikers
yearly_total,,2009,773110,heeft_do_hartinfarct_n_totaal_gebruikers,270,heeft_do_hartinfarct,n_totaal_gebruikers
yearly_total,,2010,785260,heeft_do_hartinfarct_n_totaal_gebruikers,280,heeft_do_hartinfarct,n_totaal_gebruikers
yearly_total,,2011,798130,heeft_do_hartinfarct_n_totaal_gebruikers,250,heeft_do_hartinfarct,n_totaal_gebruikers
yearly_total,,2012,808380,heeft_do_hartinfarct_n_totaal_gebruikers,260,heeft_do_hartinfarct,n_totaal_gebruikers
yearly_total,,2013,817760,heeft_do_hartinfarct_n_totaal_gebruikers,230,heeft_do_hartinfarct,n_totaal_gebruikers
yearly_total,,2014,829140,heeft_do_hartinfarct_n_totaal_gebruikers,180,heeft_do_hartinfarct,n_totaal_gebruikers
yearly_total,,2015,840240,heeft_do_hartinfarct_n_totaal_gebruikers,180,heeft_do_hartinfarct,n_totaal_gebruikers
yearly_total,,2016,850470,heeft_do_hartinfarct_n_totaal_gebruikers,180,heeft_do_hartinfarct,n_totaal_gebruikers
yearly_total,,2017,861440,heeft_do_hartinfarct_n_totaal_gebruikers,140,heeft_do_hartinfarct,n_totaal_gebruikers
yearly_total,,2018,872640,heeft_do_hartinfarct_n_totaal_gebruikers,180,heeft_do_hartinfarct,n_totaal_gebruikers
yearly_total,,2019,881570,heeft_do_hartinfarct_n_totaal_gebruikers,200,heeft_do_hartinfarct,n_totaal_gebruikers
yearly_total,,2020,891300,heeft_do_hartinfarct_n_totaal_gebruikers,190,heeft_do_hartinfarct,n_totaal_gebruikers
yearly_total,,2021,891210,heeft_do_hartinfarct_n_totaal_gebruikers,160,heeft_do_hartinfarct,n_totaal_gebruikers
yearly_total,,2022,900380,heeft_do_hartinfarct_n_totaal_gebruikers,180,heeft_do_hartinfarct,n_totaal_gebruikers
yearly_total,,2023,915280,heeft_do_hartinfarct_n_totaal_gebruikers,160,heeft_do_hartinfarct,n_totaal_gebruikers
yearly_total,,2024,930390,heeft_do_hartinfarct_n_totaal_gebruikers,200,heeft_do_hartinfarct,n_totaal_gebruikers
yearly_total,,2006,760590,heeft_do_hartinfarct_of_acute_beroerte_n_totaal_gebruikers,740,heeft_do_hartinfarct_of_acute_beroerte,n_totaal_gebruikers
yearly_total,,2007,760380,heeft_do_hartinfarct_of_acute_beroerte_n_totaal_gebruikers,650,heeft_do_hartinfarct_of_acute_beroerte,n_totaal_gebruikers
yearly_total,,2008,764520,heeft_do_hartinfarct_of_acute_beroerte_n_totaal_gebruikers,640,heeft_do_hartinfarct_of_acute_beroerte,n_totaal_gebruikers
yearly_total,,2009,773110,heeft_do_hartinfarct_of_acute_beroerte_n_totaal_gebruikers,540,heeft_do_hartinfarct_of_acute_beroerte,n_totaal_gebruikers
yearly_total,,2010,785260,heeft_do_hartinfarct_of_acute_beroerte_n_totaal_gebruikers,540,heeft_do_hartinfarct_of_acute_beroerte,n_totaal_gebruikers
yearly_total,,2011,798130,heeft_do_hartinfarct_of_acute_beroerte_n_totaal_gebruikers,550,heeft_do_hartinfarct_of_acute_beroerte,n_totaal_gebruikers
yearly_total,,2012,808380,heeft_do_hartinfarct_of_acute_beroerte_n_totaal_gebruikers,520,heeft_do_hartinfarct_of_acute_beroerte,n_totaal_gebruikers
yearly_total,,2013,817760,heeft_do_hartinfarct_of_acute_beroerte_n_totaal_gebruikers,480,heeft_do_hartinfarct_of_acute_beroerte,n_totaal_gebruikers
yearly_total,,2014,829140,heeft_do_hartinfarct_of_acute_beroerte_n_totaal_gebruikers,400,heeft_do_hartinfarct_of_acute_beroerte,n_totaal_gebruikers
yearly_total,,2015,840240,heeft_do_hartinfarct_of_acute_beroerte_n_totaal_gebruikers,440,heeft_do_hartinfarct_of_acute_beroerte,n_totaal_gebruikers
yearly_total,,2016,850470,heeft_do_hartinfarct_of_acute_beroerte_n_totaal_gebruikers,420,heeft_do_hartinfarct_of_acute_beroerte,n_totaal_gebruikers
yearly_total,,2017,861440,heeft_do_hartinfarct_of_acute_beroerte_n_totaal_gebruikers,350,heeft_do_hartinfarct_of_acute_beroerte,n_totaal_gebruikers
yearly_total,,2018,872640,heeft_do_hartinfarct_of_acute_beroerte_n_totaal_gebruikers,400,heeft_do_hartinfarct_of_acute_beroerte,n_totaal_gebruikers
yearly_total,,2019,881570,heeft_do_hartinfarct_of_acute_beroerte_n_totaal_gebruikers,420,heeft_do_hartinfarct_of_acute_beroerte,n_totaal_gebruikers
yearly_total,,2020,891300,heeft_do_hartinfarct_of_acute_beroerte_n_totaal_gebruikers,390,heeft_do_hartinfarct_of_acute_beroerte,n_totaal_gebruikers
yearly_total,,2021,891210,heeft_do_hartinfarct_of_acute_beroerte_n_totaal_gebruikers,370,heeft_do_hartinfarct_of_acute_beroerte,n_totaal_gebruikers
yearly_total,,2022,900380,heeft_do_hartinfarct_of_acute_beroerte_n_totaal_gebruikers,370,heeft_do_hartinfarct_of_acute_beroerte,n_totaal_gebruikers
yearly_total,,2023,915280,heeft_do_hartinfarct_of_acute_beroerte_n_totaal_gebruikers,410,heeft_do_hartinfarct_of_acute_beroerte,n_totaal_gebruikers
yearly_total,,2024,930390,heeft_do_hartinfarct_of_acute_beroerte_n_totaal_gebruikers,390,heeft_do_hartinfarct_of_acute_beroerte,n_totaal_gebruikers
yearly_total,,2016,850470,heeft_eerste_event_geen_medicatie_n_totaal_gebruikers,560,heeft_eerste_event_geen_medicatie,n_totaal_gebruikers
yearly_total,,2017,861440,heeft_eerste_event_geen_medicatie_n_totaal_gebruikers,560,heeft_eerste_event_geen_medicatie,n_totaal_gebruikers
yearly_total,,2018,872640,heeft_eerste_event_geen_medicatie_n_totaal_gebruikers,530,heeft_eerste_event_geen_medicatie,n_totaal_gebruikers
yearly_total,,2019,881570,heeft_eerste_event_geen_medicatie_n_totaal_gebruikers,470,heeft_eerste_event_geen_medicatie,n_totaal_gebruikers
yearly_total,,2020,891300,heeft_eerste_event_geen_medicatie_n_totaal_gebruikers,490,heeft_eerste_event_geen_medicatie,n_totaal_gebruikers
yearly_total,,2021,891210,heeft_eerste_event_geen_medicatie_n_totaal_gebruikers,480,heeft_eerste_event_geen_medicatie,n_totaal_gebruikers
yearly_total,,2022,900380,heeft_eerste_event_geen_medicatie_n_totaal_gebruikers,480,heeft_eerste_event_geen_medicatie,n_totaal_gebruikers
yearly_total,,2023,915280,heeft_eerste_event_geen_medicatie_n_totaal_gebruikers,440,heeft_eerste_event_geen_medicatie,n_totaal_gebruikers
yearly_total,,2024,930390,heeft_eerste_event_geen_medicatie_n_totaal_gebruikers,50,heeft_eerste_event_geen_medicatie,n_totaal_gebruikers
yearly_total,,2016,850470,heeft_eerste_event_met_medicatie_n_totaal_gebruikers,1580,heeft_eerste_event_met_medicatie,n_totaal_gebruikers
yearly_total,,2017,861440,heeft_eerste_event_met_medicatie_n_totaal_gebruikers,1490,heeft_eerste_event_met_medicatie,n_totaal_gebruikers
yearly_total,,2018,872640,heeft_eerste_event_met_medicatie_n_totaal_gebruikers,1410,heeft_eerste_event_met_medicatie,n_totaal_gebruikers
yearly_total,,2019,881570,heeft_eerste_event_met_medicatie_n_totaal_gebruikers,1480,heeft_eerste_event_met_medicatie,n_totaal_gebruikers
yearly_total,,2020,891300,heeft_eerste_event_met_medicatie_n_totaal_gebruikers,1410,heeft_eerste_event_met_medicatie,n_totaal_gebruikers
yearly_total,,2021,891210,heeft_eerste_event_met_medicatie_n_totaal_gebruikers,1400,heeft_eerste_event_met_medicatie,n_totaal_gebruikers
yearly_total,,2022,900380,heeft_eerste_event_met_medicatie_n_totaal_gebruikers,1390,heeft_eerste_event_met_medicatie,n_totaal_gebruikers
yearly_total,,2023,915280,heeft_eerste_event_met_medicatie_n_totaal_gebruikers,1340,heeft_eerste_event_met_medicatie,n_totaal_gebruikers
yearly_total,,2024,930390,heeft_eerste_event_met_medicatie_n_totaal_gebruikers,270,heeft_eerste_event_met_medicatie,n_totaal_gebruikers
yearly_total,,2016,850470,heeft_eerste_jaar_acute_beroerte_event_n_totaal_gebruikers,1120,heeft_eerste_jaar_acute_beroerte_event,n_totaal_gebruikers
yearly_total,,2017,861440,heeft_eerste_jaar_acute_beroerte_event_n_totaal_gebruikers,1150,heeft_eerste_jaar_acute_beroerte_event,n_totaal_gebruikers
yearly_total,,2018,872640,heeft_eerste_jaar_acute_beroerte_event_n_totaal_gebruikers,1020,heeft_eerste_jaar_acute_beroerte_event,n_totaal_gebruikers
yearly_total,,2019,881570,heeft_eerste_jaar_acute_beroerte_event_n_totaal_gebruikers,1090,heeft_eerste_jaar_acute_beroerte_event,n_totaal_gebruikers
